,Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date,Sales
0,Mobile App,2.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00,14000.0
1,Mobile App,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00,7000.0
2,Mobile App,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:01:00,7000.0
3,Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:08:00,7000.0
4,Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-02 12:08:00,7000.0
5,Mobile App,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-02 19:32:00,16800.0
6,Mobile App,1.0,24350.0,General Trade,Baby,delivered,Baby Food,2020-12-02 19:32:00,24350.0
7,Whatsapp,1.0,12200.0,General Trade,Baby,delivered,Infant Care,2020-12-03 12:41:00,12200.0
8,Whatsapp,1.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 12:41:00,7000.0
9,Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00,35000.0
10,Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00,35000.0
11,Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00,35000.0
12,Mobile App,5.0,7000.0,General Trade,Baby,delivered,Infant Care,2020-12-03 17:07:00,35000.0
13,Mobile App,1.0,16800.0,Modern Trade,Baby,delivered,Baby Food,2020-12-03 17:59:00,16800.0
14,Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-04 20:31:00,7480.0
15,Mobile App,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-05 11:18:00,16800.0
16,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-05 18:43:00,13100.0
17,Whatsapp,1.0,24350.0,General Trade,Baby,delivered,Baby Food,2020-12-06 23:21:00,24350.0
18,Whatsapp,2.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00,26200.0
19,Whatsapp,5.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00,23500.0
20,Whatsapp,3.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00,22440.0
21,Whatsapp,3.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00,22440.0
22,Whatsapp,2.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-06 23:21:00,14960.0
23,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-06 23:21:00,16800.0
